id,name,price,fuel,color,mileage,page_hit,page_favs,registered,CD changer,sunroof,suspension,address,year
16565744,M16 GDI 에비뉴,1100,가솔린,쥐색,14000,23,1,2014-10-16,no,no,no,서울,2013
16415191,M16 GDI 탑,1350,가솔린,쥐색,41325,376,1,2014-09-16,no,no,no,서울,2010
16282793,M16 GDI 프리미어,1399,가솔린,쥐색,27000,318,1,2014-08-16,no,yes,no,서울,2011
16426911,M16 GDI 프리미어,1350,가솔린,은색,35004,440,0,2014-09-22,no,yes,no,서울,2012
16323283,M16 GDI 프리미엄,1470,가솔린,흰색,36009,2124,3,2014-08-28,no,no,no,서울,2013
16039832,M16 GDI 럭셔리,1120,가솔린,은색,64747,1413,0,2014-06-26,no,no,no,서울,2011
16563838,M16 GDI 탑,1550,가솔린,빨간색(토마토레드),14000,39,0,2014-10-15,no,no,yes,서울,2012
16568978,M16 GDI 럭셔리,1170,가솔린,흰색,40000,32,0,2014-10-16,no,no,no,서울,2012
16493574,M16 GDI 탑,1420,가솔린,청색,27892,159,0,2014-10-10,no,yes,no,서울,2012
16488121,M16 GDI 럭셔리,1050,가솔린,흰색,69968,154,0,2014-09-30,no,no,no,서울,2011
16088487,M16 GDI 럭셔리,1180,가솔린,은색,36530,3685,8,2014-07-10,no,no,no,서울,2012
16487656,M16 GDI 스마트,1320,가솔린,청색,10834,227,2,2014-10-01,no,no,no,서울,2012
16522622,M16 GDI 럭셔리,1090,가솔린,은색,44758,106,0,2014-10-06,no,no,no,서울,2011
16310186,M16 GDI 에비뉴,1450,가솔린,청색(산토리니블루),32000,422,0,2014-08-22,no,yes,no,서울,2013
16463116,M16 GDI 에비뉴,1100,가솔린,쥐색,14000,381,1,2014-09-24,no,no,no,서울,2013
16528719,M16 GDI 모던,1400,가솔린,흰색,34000,94,0,2014-10-07,no,yes,no,서울,2012
16435118,M16 GDI 럭셔리,1170,가솔린,은색,39266,450,2,2014-09-22,no,no,no,서울,2010
16414809,M16 GDI 스타일,1280,가솔린,검정색,21000,599,1,2014-09-15,no,no,no,서울,2013
