id,name,price,fuel,color,mileage,page_hit,page_favs,registered,CD changer,sunroof,suspension,address,year
16648524,프레스티지,1450,가솔린,흰색,40000,101,0,2014-11-03,no,yes,yes,서울,2012
16634053,트렌디,1490,가솔린,진주색,10344,40,0,2014-10-30,no,yes,yes,경기,2013
16657779,럭셔리,1400,가솔린,흰색,15697,20,1,2014-11-04,no,no,yes,대전,2013
16330190,트렌디,1590,가솔린,흰색,27791,1231,2,2014-08-26,no,no,yes,대구,2013
16612744,트렌디,1480,가솔린,흰색,18000,174,0,2014-10-25,no,yes,yes,경기,2013
16583107,노블레스,1630,가솔린,진주색(스노우화이트펄),28000,325,1,2014-10-19,no,yes,no,인천,2013
16576422,프레스티지,1520,가솔린,빨간색,22759,87,1,2014-10-17,no,yes,yes,대전,2012
16575796,럭셔리,1530,가솔린,진주색,11198,161,0,2014-10-17,no,yes,yes,경남,2013
16614821,트렌디,1290,가솔린,진주색,25000,121,0,2014-10-26,no,no,no,경기,2013
16623902,트렌디,1439,가솔린,흰색,44430,32,0,2014-10-28,no,yes,yes,경기,2013
16345253,노블레스,1550,가솔린,진주색,47000,1743,2,2014-08-29,no,no,no,서울,2013
16651670,노블레스,1850,가솔린,진주색,5000,60,0,2014-11-03,no,yes,yes,대구,2014
16577816,트렌디,1399,가솔린,진주색,15743,285,0,2014-10-17,no,no,yes,경남,2013
16642044,노블레스,1150,가솔린,흰색,8100,186,0,2014-10-31,no,no,yes,서울,2013
16570664,프레스티지,1380,가솔린,흰색,19126,157,0,2014-10-16,no,no,no,인천,2013
16643110,럭셔리,1430,가솔린,은색,14404,38,0,2014-10-31,no,yes,yes,경남,2013
16454708,럭셔리,1480,가솔린,흰색,21982,412,1,2014-09-23,no,yes,yes,서울,2012
16619456,노블레스,1670,가솔린,흰색,20000,100,0,2014-10-27,no,yes,yes,경기,2012
16005908,노블레스,1620,가솔린,흰색,25642,230,1,2014-10-23,no,no,yes,대전,2013
16637602,프레스티지,1520,가솔린,검정색,22000,26,0,2014-10-30,no,yes,yes,인천,2013
16357661,노블레스,1490,가솔린,진주색,38138,3023,11,2014-09-04,no,no,no,경기,2012
16565968,프레스티지,1480,가솔린,쥐색,36654,295,0,2014-10-23,no,yes,no,경기,2012
16614004,노블레스,1590,가솔린,진주색,30000,84,0,2014-10-25,no,yes,yes,인천,2013
16486358,트렌디,1450,가솔린,쥐색,27536,636,0,2014-10-06,no,no,no,서울,2013
16605991,노블레스,1420,가솔린,검정색,20587,432,3,2014-10-25,no,yes,no,서울,2012
16648324,트렌디,1500,가솔린,흰색,17873,28,0,2014-11-03,no,no,no,인천,2014
16507039,럭셔리,1470,가솔린,은색,10000,300,1,2014-10-02,no,no,no,전북,2014
16418817,디럭스,1070,가솔린,은색,7977,2245,2,2014-09-16,no,no,no,대전,2014
16632391,트렌디,1490,가솔린,흰색,10322,15,0,2014-11-04,no,no,yes,광주,2013
16565450,프레스티지,1600,가솔린,흰색,40000,132,0,2014-10-15,yes,yes,yes,서울,2012
16609026,트렌디,1490,가솔린,흰색,18000,155,0,2014-10-24,no,no,yes,전북,2013
16556423,프레스티지,1570,가솔린,검정색,30961,341,0,2014-10-14,no,yes,no,대구,2013
16657593,노블레스,1470,가솔린,진주색,13300,5,0,2014-11-04,no,no,yes,경기,2012
16655816,디럭스,1330,가솔린,검정색,21432,16,0,2014-11-04,no,no,yes,경기,2013
16614028,럭셔리,1500,가솔린,흰색,16557,74,0,2014-10-25,no,no,yes,경기,2012
16658517,트렌디,1620,가솔린,진주색,8400,13,0,2014-11-04,no,yes,no,서울,2014
16499710,럭셔리,1420,가솔린,검정색,8562,1120,0,2014-10-01,no,yes,yes,서울,2012
16638850,프레스티지,1600,가솔린,검정색,20882,49,0,2014-10-31,no,no,yes,부산,2012
16217740,트렌디,1440,가솔린,은색,16312,3369,12,2014-08-06,no,no,no,대전,2013
16496979,트렌디,1500,가솔린,은색,6321,305,0,2014-10-01,no,no,no,서울,2014
16456529,트렌디,1460,가솔린,진주색,11454,734,0,2014-09-23,no,no,no,서울,2014
16546046,프레스티지,1450,가솔린,흰색,40000,979,0,2014-10-11,yes,yes,yes,서울,2012
16611698,노블레스,1370,가솔린,검정색,15400,476,2,2014-10-25,no,no,yes,부산,2012
16628396,노블레스,1480,가솔린,진주색,30000,41,0,2014-10-29,no,yes,yes,인천,2013
16589340,트렌디,1420,가솔린,진주색,21526,409,0,2014-10-22,no,no,no,광주,2013
16606371,트렌디,1550,가솔린,흰색,9869,126,0,2014-10-24,no,no,no,경기,2014
16583153,노블레스,1700,가솔린,흰색,27000,207,0,2014-10-19,no,yes,no,경기,2013
16442790,럭셔리,1480,가솔린,흰색,21982,440,0,2014-09-20,no,yes,yes,서울,2012
16148205,럭셔리,1380,가솔린,흰색,17000,647,3,2014-09-21,no,no,yes,경북,2013
16439841,노블레스,1520,가솔린,검정색,15000,614,0,2014-09-19,no,yes,yes,경기,2013
16543444,트렌디,1480,가솔린,쥐색,18120,162,0,2014-10-10,no,no,yes,서울,2013
16628442,노블레스,1480,가솔린,진주색,30000,29,0,2014-10-29,no,yes,yes,인천,2013
16567620,트렌디,1520,가솔린,흰색,30300,126,1,2014-10-16,no,yes,yes,경기,2013
16517496,트렌디,1450,가솔린,진주색,25300,399,3,2014-10-05,no,no,no,충남,2013
16490088,프레스티지,1400,가솔린,은색,29800,384,0,2014-09-30,no,no,yes,부산,2012
16619199,트렌디,1300,가솔린,청옥색(곤색),26900,87,0,2014-10-27,no,no,yes,경기,2013
16612268,럭셔리,990,가솔린,진주색,89000,209,0,2014-10-25,no,no,yes,인천,2012
16557226,디젤 노블레스,2050,디젤,흰색,3852,2190,2,2014-10-14,no,yes,no,대전,2014
16540636,노블레스,1599,가솔린,검정색,27564,221,1,2014-10-10,no,no,yes,경기,2013
16645913,프레스티지,1480,가솔린,쥐색,15000,46,0,2014-11-01,no,no,yes,전북,2012
16618836,럭셔리,1450,가솔린,진주색,10000,154,0,2014-10-27,no,yes,yes,부산,2012
16618020,노블레스,1800,가솔린,청색,5700,158,1,2014-10-27,no,no,no,경남,2014
16425571,럭셔리,1320,가솔린,은색,17000,523,0,2014-09-17,no,no,yes,전북,2013
16592691,디럭스,980,가솔린,쥐색,30200,517,1,2014-10-21,no,no,yes,인천,2013
16437454,노블레스,1570,가솔린,쥐색,29184,759,1,2014-09-19,no,no,yes,경기,2012
16174235,노블레스,1590,가솔린,검정색,29512,3618,14,2014-07-31,no,yes,no,서울,2013
16488589,노블레스,1550,가솔린,진주색,47000,130,0,2014-09-29,no,no,no,서울,2013
16585859,노블레스,1630,가솔린,흰색,31038,180,0,2014-10-20,no,yes,yes,인천,2013
16644431,트렌디,1500,가솔린,진주색,20482,35,0,2014-11-01,no,yes,no,인천,2013
16446307,럭셔리,1390,가솔린,흰색,4000,1077,3,2014-09-21,no,no,yes,경기,2012
16361470,럭셔리,1390,가솔린,흰색,21249,226,0,2014-09-02,no,no,no,인천,2012
16614818,트렌디,1550,가솔린,흰색,11400,93,0,2014-10-26,no,yes,no,경기,2013
16524482,노블레스,1590,가솔린,은색,19198,307,0,2014-10-07,no,yes,yes,대전,2013
16296444,트렌디,1190,가솔린,진주색,4601,6076,5,2014-08-19,no,no,no,서울,2013
16465781,에코플러스,1320,가솔린,검정색,49700,713,0,2014-09-25,no,no,yes,경기,2012
16464165,노블레스,1530,가솔린,진주색,58703,496,1,2014-10-06,no,yes,no,서울,2012
16628127,프레스티지,1320,가솔린,검정색,23886,49,0,2014-10-29,no,no,yes,경기,2012
16199876,디젤 프레스티지,1800,디젤,은색,2172,9618,6,2014-07-29,no,no,no,서울,2014
16431610,노블레스,1490,가솔린,검정색,47000,650,4,2014-09-18,no,no,yes,경기,2012
16440446,노블레스,1620,가솔린,진주색,6050,1412,1,2014-09-19,no,no,yes,경기,2013
16283834,럭셔리,1330,가솔린,은색,43000,93,0,2014-10-19,no,no,yes,충남,2012
16443144,럭셔리,1480,가솔린,흰색,21000,387,0,2014-09-20,no,yes,yes,서울,2012
16510916,노블레스,1480,가솔린,흰색,35000,849,0,2014-10-03,no,no,yes,인천,2013
16645254,럭셔리,1480,가솔린,흰색,21000,16,0,2014-11-01,no,yes,yes,서울,2012
