id,name,price,fuel,color,mileage,page_hit,page_favs,registered,CD changer,sunroof,suspension,address,year
16410326,1.6 2U 최고급형,890,가솔린,주황색,70000,143,0,2014-09-15,no,no,no,인천,2010
16390601,1.6 2U 고급형,798,가솔린,진주색,47000,180,0,2014-09-10,no,no,no,전북,2008
13354850,1.6 2U 쿨,930,가솔린,연금색(베이지바닐라쉐이크),24988,27,1,2014-10-07,no,no,no,전북,2009
16427511,1.6 GDI 프랜드 기본형,1250,가솔린,은색,17068,227,0,2014-09-17,no,no,no,서울,2013
15935042,디젤 1.6 2U 고급형,641,디젤,흰색,153300,3361,4,2014-06-05,no,no,no,경기,2011
16374259,1.6 4U 기본형,940,가솔린,진주색,71575,165,0,2014-09-04,no,yes,no,광주,2009
15656911,1.6 2U 쿨,880,가솔린,하늘색,59860,255,1,2014-09-05,no,yes,no,경기,2009
13025482,1.6 2U 세이프티,770,가솔린,진주색,60000,3440,7,2013-11-22,no,no,no,경기,2011
16402856,1.6 GDI 럭셔리 기본형,880,가솔린,진주색,125888,439,1,2014-09-12,no,no,no,경기,2011
16449379,1.6 2U 고급형,820,가솔린,은하색,54521,760,7,2014-09-22,no,no,no,서울,2008
16354424,1.6 2U 고급형,789,가솔린,청옥색,97141,292,1,2014-08-31,no,no,no,경남,2009
16472404,1.6 2U 최고급형,950,가솔린,진주색,52000,45,0,2014-09-26,no,yes,no,경북,2009
16484301,1.6 2U 최고급형,780,가솔린,은색,53000,112,0,2014-09-29,no,no,no,경기,2009
16244065,디젤 1.6 디럭스,900,디젤,진주색,137946,651,0,2014-08-07,no,no,no,경기,2012
16378117,1.6 2U 최고급형,870,가솔린,진주색,69923,198,0,2014-09-10,no,yes,no,서울,2010
16114197,1.6 2U 고급형,899,가솔린,청색,57442,645,3,2014-07-11,no,no,no,대구,2010
14820720,1.6 2U 고급형,790,가솔린,검정색,59259,401,1,2014-08-26,no,no,no,충남,2008
16518361,1.6 스마트,1010,가솔린,진주색,11000,19,0,2014-10-06,no,no,no,경기,2011
16505736,1.6 2U 세이프티,980,가솔린,진주색,50000,16,0,2014-10-02,no,yes,no,강원,2010
16428010,1.6 GDI 디럭스 에코플러스,950,가솔린,빨간색,15000,283,1,2014-09-17,no,no,no,경기,2011
15905983,1.6 2U 최고급형,750,가솔린,흰색,105500,279,0,2014-09-02,no,no,no,서울,2009
