1070,17000,2014-09-19
990,36000,2014-08-22
799,81000,2014-07-31
850,84700,2014-09-22
1050,49000,2014-06-03
1030,38000,2014-09-30
759,170574,2014-09-30
999,50243,2014-09-19
900,47000,2014-09-16
1600,29800,2014-08-18
920,27496,2014-09-15
879,31948,2014-10-07
970,73029,2014-10-06
980,43000,2014-09-19
830,44500,2014-09-30
1390,4595,2014-07-29
1280,13119,2014-09-05
860,96000,2014-08-28
990,68921,2014-09-24
1090,38556,2014-10-03
1190,11183,2014-09-24
859,110000,2014-09-26
900,57000,2014-09-28
930,43619,2014-07-04
699,146541,2014-09-30
880,28776,2014-09-28
750,74000,2014-10-07
960,24410,2014-09-17
800,160000,2014-10-04
1070,27200,2014-07-16
980,52000,2014-10-05
1080,50432,2014-10-06
830,86000,2014-09-29
1130,34400,2014-07-08
1090,42000,2014-08-25
650,64492,2014-07-25
950,55591,2014-08-16
820,73800,2014-09-26
930,85096,2014-10-02
790,106000,2014-08-15
650,30000,2014-09-15
870,72100,2014-08-28
1220,40200,2014-10-08
870,39000,2014-04-25
850,34864,2014-09-03
970,33815,2014-09-28
540,33735,2014-09-29
700,50662,2014-10-07
860,71377,2014-09-20
920,84800,2014-07-16
1160,22000,2014-09-15
1080,16000,2014-10-03
1170,16000,2014-09-23
860,74000,2014-07-23
990,42000,2014-08-25
1020,101000,2014-09-24
720,35684,2014-09-26
1220,29000,2014-09-12
820,100000,2014-08-09
1060,63693,2014-08-28
870,65370,2014-10-07
900,45000,2014-09-01
799,107175,2014-09-05
1130,48600,2014-08-25
870,88487,2014-08-19
720,85000,2014-09-30
999,81000,2014-10-02
870,100000,2014-10-02
930,74341,2014-10-04
1090,40000,2014-10-02
720,60144,2014-09-06
1130,25000,2014-09-28
1199,57032,2014-09-10
1320,10000,2014-09-04
990,92145,2014-08-18
1100,26204,2014-10-01
990,60596,2014-09-19
1040,62000,2014-07-03
900,87000,2014-09-30
650,175379,2014-08-27
1060,47000,2014-09-28
1100,57000,2014-10-03
800,61800,2014-09-23
790,128771,2014-08-06
1160,40000,2014-10-08
890,50000,2014-10-08
840,81143,2014-10-07
1180,32949,2014-09-04
630,164000,2014-09-24
970,50000,2014-10-04
1150,50000,2014-09-30
